source,active_path,raw_rows,sha256
/Users/spencerparr/Downloads/Matches/Plot D/0-1/0-1_Coki_PlotD_Matches_20260416_20260608.csv,data_raw/taglab/Plot_D/0-1_Coki_PlotD_Matches_20260416_20260608.csv,1,86fa9f1350bdd53959b6d68d129c6ead5c0a78586983fb723172c6870a2a2028
/Users/spencerparr/Downloads/Matches/Plot D/1-0/1-0_Coki_PlotD_Matches_20251105_20260416.csv,data_raw/taglab/Plot_D/1-0_Coki_PlotD_Matches_20251105_20260416.csv,101,22655aac2d452f59a74a9837c2f0a23fcd296b663c653b32160d7138b884a395
/Users/spencerparr/Downloads/Matches/Plot D/1-0/1-0_Coki_PlotD_Matches_20260416_20260608.csv,data_raw/taglab/Plot_D/1-0_Coki_PlotD_Matches_20260416_20260608.csv,101,9456c732d20e223111f381c2a51ab052b67896c4e0c19c0f0927126cecda2839
/Users/spencerparr/Downloads/Matches/Plot G/0-0/0-0_Coki_PlotG_Matches_20251107_20260424.csv,data_raw/taglab/Plot_G/0-0_Coki_PlotG_Matches_20251107_20260424.csv,21,a0c0b9446134d067e4b3ca07138b1e9cb1aa3eb58f934c0383ec7481db0a0a10
/Users/spencerparr/Downloads/Matches/Plot G/0-0/0-0_Coki_PlotG_Matches_20260424_20260526.csv,data_raw/taglab/Plot_G/0-0_Coki_PlotG_Matches_20260424_20260526.csv,21,603f3b6005ff813bda8ba7780b996fc2f88f814cd4d9ad3ae2f3434ab0cb0e10
/Users/spencerparr/Downloads/Matches/Plot G/0-0/0-0_Coki_PlotG_Matches_20260526_20260813.csv,data_raw/taglab/Plot_G/0-0_Coki_PlotG_Matches_20260526_20260813.csv,21,e21d20cb176d0d636e931187e71ec1d73bb4f4e4dc7fe371553ef17e3f96c2c3
/Users/spencerparr/Downloads/Matches/Plot G/0-1/0-1_Coki_PlotG_Matches_20251107_20260424.csv,data_raw/taglab/Plot_G/0-1_Coki_PlotG_Matches_20251107_20260424.csv,3,a6ccf61a62009ed211e9622269dcca664c33b6ed26d32d4e265ec9b93b4f98c5
/Users/spencerparr/Downloads/Matches/Plot G/0-1/0-1_Coki_PlotG_Matches_20260424_20260526.csv,data_raw/taglab/Plot_G/0-1_Coki_PlotG_Matches_20260424_20260526.csv,3,c148d83c009c96933483663e03d738a1cba17cfb96cc9fea38c3041029609ba1
/Users/spencerparr/Downloads/Matches/Plot G/0-1/0-1_Coki_PlotG_Matches_20260526_20260813.csv,data_raw/taglab/Plot_G/0-1_Coki_PlotG_Matches_20260526_20260813.csv,3,e4908fa96f704617a4777b71e126a8bcdcb00709ede2e777ea0df4014ab8e20c
/Users/spencerparr/Downloads/Matches/Plot G/1-0/1-0_Coki_PlotG_20260526_1-0-Coki_PlotG_20260813_1-0.csv,data_raw/taglab/Plot_G/1-0_Coki_PlotG_20260526_1-0-Coki_PlotG_20260813_1-0.csv,20,719a5da0a25aaa582ca24c00522af0e488538edb3e43e7b6209d080764781b97
/Users/spencerparr/Downloads/Matches/Plot G/1-0/1-0_Coki_PlotG_Matches_20251107_20260424.csv,data_raw/taglab/Plot_G/1-0_Coki_PlotG_Matches_20251107_20260424.csv,21,3fd6ea69789608d91b744d8a535249cc9401f53e776d21d72bcf7bb393ded214
/Users/spencerparr/Downloads/Matches/Plot G/1-0/1-0_Coki_PlotG_Matches_20260424_20260526.csv,data_raw/taglab/Plot_G/1-0_Coki_PlotG_Matches_20260424_20260526.csv,21,2d2d55d8cd29dc0e710482ac192f9acfc88dd95f4ed5d7cd67e83a007d04155b
/Users/spencerparr/Downloads/Matches/Plot H/0-0/0-0_Coki_PlotH_Matches_20251107_20260424.csv,data_raw/taglab/Plot_H/0-0_Coki_PlotH_Matches_20251107_20260424.csv,8,6b20522649a284670e7520a8c015f544b2c387bcba2e0e5c3994b02b6b16f390
/Users/spencerparr/Downloads/Matches/Plot H/0-0/0-0_Coki_PlotH_Matches_20260424_20260525.csv,data_raw/taglab/Plot_H/0-0_Coki_PlotH_Matches_20260424_20260525.csv,8,cf306daf56812d9a1b13134265d87aed8fd9c95367e8134d47117fc452b9d0e3
/Users/spencerparr/Downloads/Matches/Plot H/0-0/0-0_Coki_PlotH_Matches_20260525_20260813.csv,data_raw/taglab/Plot_H/0-0_Coki_PlotH_Matches_20260525_20260813.csv,8,615bd1995351e0a5b0d28acc8a5563a435b521bc8167e230793ece7a5555f752
/Users/spencerparr/Downloads/Matches/Plot H/0-1/0-1_Coki_PlotH_20251107_0-1-Coki_PlotH_20260424_0-1.csv,data_raw/taglab/Plot_H/0-1_Coki_PlotH_20251107_0-1-Coki_PlotH_20260424_0-1.csv,3,548d74654f5859277381bd718e7f747014d3bf2149dd2f6780d347cc7d14734f
/Users/spencerparr/Downloads/Matches/Plot H/0-1/0-1_Coki_PlotH_20260424_0-1-Coki_PlotH_20260525_0-1.csv,data_raw/taglab/Plot_H/0-1_Coki_PlotH_20260424_0-1-Coki_PlotH_20260525_0-1.csv,3,d3b0fedb1ba32d624561b0c8d96687e213f64137299354150931d7c909189471
/Users/spencerparr/Downloads/Matches/Plot H/0-1/0-1_Coki_PlotH_20260525_0-1-Coki_PlotH_20260813_0-1.csv,data_raw/taglab/Plot_H/0-1_Coki_PlotH_20260525_0-1-Coki_PlotH_20260813_0-1.csv,3,7af7ae928f4e12c7629c7003b9b366e557ecf6129c11b69bfe0f711b85c7ec2d
/Users/spencerparr/Downloads/Matches/Plot H/1-0/1-0_Coki_PlotH_20251107_1-0-Coki_PlotH_20260424_1-0.csv,data_raw/taglab/Plot_H/1-0_Coki_PlotH_20251107_1-0-Coki_PlotH_20260424_1-0.csv,28,67c8638d13bbb9a61fe52d3b407fe45ac89ad7a69f426ce5c49d2f694ce30d41
/Users/spencerparr/Downloads/Matches/Plot H/1-0/1-0_Coki_PlotH_20260424_1-0-Coki_PlotH_20260525_1-0.csv,data_raw/taglab/Plot_H/1-0_Coki_PlotH_20260424_1-0-Coki_PlotH_20260525_1-0.csv,31,02920bc0f609f9bd71df1cf208989981b5270a138fba48b71de65fe5fce1e49d
/Users/spencerparr/Downloads/Matches/Plot H/1-0/1-0_Coki_PlotH_20260525_1-0-Coki_PlotH_20260813_1-0.csv,data_raw/taglab/Plot_H/1-0_Coki_PlotH_20260525_1-0-Coki_PlotH_20260813_1-0.csv,32,36e492d084a9f57af9c523e3d607332ffba4c1b1b72d015fe31f0909c4e2a702
OneDrive_1_9-23-2026.zip/0-0/0-0_PlotE_Matches_20250507_20250609.csv,data_raw/taglab/Plot_E/0-0_PlotE_Matches_20250507_20250609.csv,238,fdfa185157076776929b2aedb4fd88effafa92100271ec07f9f8bbb25ec26577
OneDrive_1_9-23-2026.zip/0-0/0-0_PlotE_Matches_20250609_20250711.csv,data_raw/taglab/Plot_E/0-0_PlotE_Matches_20250609_20250711.csv,234,d56b0c6f06cb18e402a89713770b8eeeb5c8c14b09febb3c874472f6b9853b88
OneDrive_1_9-23-2026.zip/0-0/0-0_PlotE_Matches_20250711_20250804.csv,data_raw/taglab/Plot_E/0-0_PlotE_Matches_20250711_20250804.csv,207,17d577f6bddd303c3e8a8531d854903f51abd5673f138cdae6590cf8355dc725
OneDrive_1_9-23-2026.zip/0-0/0-0_PlotE_Matches_20250804_20250908.csv,data_raw/taglab/Plot_E/0-0_PlotE_Matches_20250804_20250908.csv,176,b9292ed9d18dae78fd2f5fd019fb2adb8ac7212886545b3dcb2ec480527d4c6c
OneDrive_1_9-23-2026.zip/0-0/0-0_PlotE_Matches_20250908_20251014.csv,data_raw/taglab/Plot_E/0-0_PlotE_Matches_20250908_20251014.csv,159,dd14d9817ab00d88a6d1f1e60212eba32803f22b2c6100fbd7634cc25cdbb60a
OneDrive_1_9-23-2026.zip/0-0/0-0_PlotE_Matches_20251014_20251106.csv,data_raw/taglab/Plot_E/0-0_PlotE_Matches_20251014_20251106.csv,136,f0bb9bf1da5f5b45a09cbbed3301dc40a3ecfe1ac1c6253fac954096d3a0d6bf
OneDrive_1_9-23-2026.zip/0-0/0-0_PlotE_Matches_20251106_20251204.csv,data_raw/taglab/Plot_E/0-0_PlotE_Matches_20251106_20251204.csv,137,261b54584f77769e6a6bb4da15ffb265dcd1ce52c6ff317dbce63895f6910f5c
OneDrive_1_9-23-2026.zip/0-0/0-0_PlotE_Matches_20251204_20260120.csv,data_raw/taglab/Plot_E/0-0_PlotE_Matches_20251204_20260120.csv,116,6139c511fc4c6bab4edb1ee1df905d3d849be92301c0dd5056ab7783cc84496d
OneDrive_1_9-23-2026.zip/0-0/0-0_PlotE_Matches_20260120_20260216.csv,data_raw/taglab/Plot_E/0-0_PlotE_Matches_20260120_20260216.csv,98,65782b8d378e2b4757683b22b39ad27c3da71c937d6cc76cd9921a80a083b27b
OneDrive_1_9-23-2026.zip/0-0/0-0_PlotE_Matches_20260216_20260325.csv,data_raw/taglab/Plot_E/0-0_PlotE_Matches_20260216_20260325.csv,85,2ff66618c5fe015806e8e4820a9115a0d620151a29c7d88b99689a85e6f2daaf
OneDrive_1_9-23-2026.zip/0-0/0-0_PlotE_Matches_20260325_20260409.csv,data_raw/taglab/Plot_E/0-0_PlotE_Matches_20260325_20260409.csv,350,f9c94e8055485c06d7e155d45ef3819511ea817906270cdec232c0a92af20b91
OneDrive_1_9-23-2026.zip/0-0/0-0_PlotE_Matches_20260409_20260504.csv,data_raw/taglab/Plot_E/0-0_PlotE_Matches_20260409_20260504.csv,358,69a92776d451c1bd3649895ef21f302a6292b956c625211625658c191a1b0a34
OneDrive_1_9-23-2026.zip/0-1/0-1_PlotE_Matches_20250507_20250609.csv,data_raw/taglab/Plot_E/0-1_PlotE_Matches_20250507_20250609.csv,215,e4aa5a6c16d8de768b5137fef8c28b708be7a61e8677c16e799519424ceebacb
OneDrive_1_9-23-2026.zip/0-1/0-1_PlotE_Matches_20250609_20250711.csv,data_raw/taglab/Plot_E/0-1_PlotE_Matches_20250609_20250711.csv,208,5ce4363f21a09c9dc127cff3c19f5f5af29b9b4ad9ce917cf5a8eec9e5e3ba81
OneDrive_1_9-23-2026.zip/0-1/0-1_PlotE_Matches_20250711_20250804.csv,data_raw/taglab/Plot_E/0-1_PlotE_Matches_20250711_20250804.csv,193,f2cc1802db4b2c09de43024b1a396b9a4716b8861bfeaf6a26f5932bf5048c38
OneDrive_1_9-23-2026.zip/0-1/0-1_PlotE_Matches_20250804_20250908.csv,data_raw/taglab/Plot_E/0-1_PlotE_Matches_20250804_20250908.csv,180,c41eec9ec0465bd4ec8dd785a82cfdfd6ffc2145a8407d6fee6f26f3e1e28e42
OneDrive_1_9-23-2026.zip/0-1/0-1_PlotE_Matches_20250908_20251014.csv,data_raw/taglab/Plot_E/0-1_PlotE_Matches_20250908_20251014.csv,165,ae6590c5c9dad03297bb6b6368a9428aec6f4108704c0b367ac0a677881b88aa
OneDrive_1_9-23-2026.zip/0-1/0-1_PlotE_Matches_20251014_20251106.csv,data_raw/taglab/Plot_E/0-1_PlotE_Matches_20251014_20251106.csv,156,bc1ae5d62cb9c882d5a95589c976e0044b92c243c6433e3a75f665cf3225add7
OneDrive_1_9-23-2026.zip/0-1/0-1_PlotE_Matches_20251106_20251204.csv,data_raw/taglab/Plot_E/0-1_PlotE_Matches_20251106_20251204.csv,154,dc25fdbce8fd6a6864bfeaaf7dadbe56e8895659910af4a0cef0b45026d5165d
OneDrive_1_9-23-2026.zip/0-1/0-1_PlotE_Matches_20251204_20260120.csv,data_raw/taglab/Plot_E/0-1_PlotE_Matches_20251204_20260120.csv,144,0d705d023ead0fe1aff81e58d4a5eb27d03bf5b3740637fe748288095c9e0959
