plot,survey_date,file,sheet,path,file_exists,file_size_kb
Plot E,2025-07-24,07.24.25 Data.xlsx,Raw Data,data_raw/All_Coral/Plot_E/2025/07.24.25 Data.xlsx,TRUE,259.1
Plot E,2025-08-04,08.04.25 Data.xlsx,Raw Data,data_raw/All_Coral/Plot_E/2025/08.04.25 Data.xlsx,TRUE,280
Plot E,2025-09-08,09.08.2025 Data.xlsx,Raw Data,data_raw/All_Coral/Plot_E/2025/09.08.2025 Data.xlsx,TRUE,261.4
Plot E,2025-10-14,10.14.2025 Data.xlsx,Raw Data,data_raw/All_Coral/Plot_E/2025/10.14.2025 Data.xlsx,TRUE,266.6
Plot E,2025-11-06,11.06.2025 Data.xlsx,Raw Data,data_raw/All_Coral/Plot_E/2025/11.06.2025 Data.xlsx,TRUE,263.8
Plot E,2025-12-04,12.04.2025 Data.xlsx,Raw Data,data_raw/All_Coral/Plot_E/2025/12.04.2025 Data.xlsx,TRUE,231
