Genet,Blob1,Blob2,Area1,Area2,Class,Action,Split\Fuse
22,-1,16,0.0,17.02,Orbicella_annularis,born,none
23,-1,17,0.0,18.545,Orbicella_annularis,born,none
24,-1,18,0.0,20.0925,Orbicella_annularis,born,none
25,-1,25,0.0,6.4025,Porites_porites,born,none
26,-1,26,0.0,2.365,Porites_porites,born,none
27,-1,27,0.0,2.205,Porites_porites,born,none
28,-1,28,0.0,6.66,Montastrea_cavernosa,born,none
29,-1,29,0.0,3.1675,Montastrea_cavernosa,born,none
30,-1,30,0.0,2.62,Orbicella_annularis,born,none
31,-1,31,0.0,4.085,Pseudodiploria_strigosa,born,none
32,-1,32,0.0,5.78,Montastrea_cavernosa,born,none
33,-1,33,0.0,4.605,Montastrea_cavernosa,born,none
34,-1,34,0.0,6.325,Montastrea_cavernosa,born,none
35,-1,35,0.0,7.33,Montastrea_cavernosa,born,none
36,-1,36,0.0,4.6775,Montastrea_cavernosa,born,none
37,-1,37,0.0,9.25,Orbicella_annularis,born,none
38,-1,38,0.0,4.175,Montastrea_cavernosa,born,none
39,-1,39,0.0,5.755,Montastrea_cavernosa,born,none
40,-1,40,0.0,6.725,Montastrea_cavernosa,born,none
41,-1,41,0.0,3.27,Montastrea_cavernosa,born,none
42,-1,42,0.0,3.92,Montastrea_cavernosa,born,none
43,-1,43,0.0,13.905,Montastrea_cavernosa,born,none
44,-1,44,0.0,5.59,Montastrea_cavernosa,born,none
45,-1,45,0.0,4.405,Montastrea_cavernosa,born,none
46,-1,46,0.0,3.325,Montastrea_cavernosa,born,none
47,-1,47,0.0,6.6075,Montastrea_cavernosa,born,none
48,-1,48,0.0,5.3025,Montastrea_cavernosa,born,none
49,-1,49,0.0,3.7525,Montastrea_cavernosa,born,none
50,-1,50,0.0,5.885,Montastrea_cavernosa,born,none
51,-1,51,0.0,7.2125,Montastrea_cavernosa,born,none
52,-1,52,0.0,1.935,Montastrea_cavernosa,born,none
53,-1,53,0.0,7.0425,Montastrea_cavernosa,born,none
1,1,1,20.2125,21.515,Orbicella_annularis,grow,n/s
5,5,9,12.56,13.29,Orbicella_annularis,grow,n/s
7,7,8,5.51,7.055,Porites_porites,grow,n/s
8,8,6,14.8525,17.09,Orbicella_annularis,grow,n/s
11,11,23,3.2025,6.535,Porites_porites,grow,n/s
12,12,22,10.265,12.735,Porites_porites,grow,n/s
13,13,13,14.6525,16.065,Orbicella_annularis,grow,n/s
16,16,24,11.475,13.4875,Orbicella_annularis,grow,n/s
17,17,14,8.345,12.3,Porites_porites,grow,n/s
19,19,19,19.0325,21.8425,Orbicella_annularis,grow,n/s
20,20,20,5.79,9.165,Porites_porites,grow,n/s
21,21,21,4.9425,7.3175,Porites_porites,grow,n/s
0,0,0,25.475,26.225,Orbicella_annularis,same,n/s
2,2,2,26.3725,27.2775,Orbicella_annularis,same,n/s
3,3,3,15.9425,16.2925,Orbicella_annularis,same,n/s
6,6,7,9.57,9.3825,Porites_porites,same,n/s
9,9,5,19.1775,18.45,Orbicella_annularis,same,n/s
18,18,15,5.905,5.9425,Porites_porites,same,n/s
4,4,10,19.91,18.0,Orbicella_annularis,shrink,n/s
10,10,4,23.435,21.55,Orbicella_annularis,shrink,n/s
14,14,11,9.02,6.86,Porites_porites,shrink,n/s
15,15,12,10.65,8.22,Porites_porites,shrink,n/s
