Genet,Blob1,Blob2,Area1,Area2,Class,Action,Split\Fuse
137,-1,0,0.0,12.7725,Acropora_palmata,born,none
114,-1,1,0.0,4.8775,Orbicella_annularis,born,none
138,-1,2,0.0,2.435,Orbicella_annularis,born,none
109,488,-1,5.52,0.0,Orbicella_sp.,dead,none
110,489,-1,3.6725,0.0,Orbicella_sp.,dead,none
4,15,12,3.7275,4.5875,Orbicella_annularis,grow,n/s
5,17,14,4.5,5.205,Orbicella_annularis,grow,n/s
6,18,16,3.0725,3.6525,Orbicella_annularis,grow,n/s
10,30,25,8.34,9.4325,Orbicella_annularis,grow,n/s
12,32,27,6.585,7.0575,Orbicella_annularis,grow,n/s
12,33,28,5.6575,6.1525,Orbicella_annularis,grow,n/s
13,34,29,4.29,5.5025,Orbicella_annularis,grow,n/s
12,35,30,6.7725,7.7075,Orbicella_annularis,grow,n/s
12,37,32,5.295,6.8675,Orbicella_annularis,grow,n/s
14,38,33,4.2175,4.875,Orbicella_annularis,grow,n/s
0,82,72,0.7425,1.0825,Orbicella_annularis,grow,n/s
19,97,90,4.2025,4.7,Orbicella_annularis,grow,n/s
20,98,91,6.335,6.9325,Orbicella_annularis,grow,n/s
21,100,93,4.81,5.6525,Orbicella_annularis,grow,n/s
22,101,94,5.37,6.22,Orbicella_annularis,grow,n/s
23,104,99,4.7175,6.2625,Orbicella_annularis,grow,n/s
22,110,102,5.3825,6.0725,Orbicella_annularis,grow,n/s
24,111,101,4.4925,6.4125,Orbicella_annularis,grow,n/s
27,116,109,4.195,4.9375,Orbicella_annularis,grow,n/s
28,121,111,5.6275,6.675,Orbicella_annularis,grow,n/s
32,127,117,3.8525,4.1975,Orbicella_annularis,grow,n/s
33,158,147,4.39,6.15,Orbicella_annularis,grow,n/s
33,159,148,23.685,27.36,Orbicella_annularis,grow,n/s
42,171,159,5.16,6.18,Orbicella_annularis,grow,n/s
42,173,161,5.88,6.9675,Orbicella_annularis,grow,n/s
42,181,168,3.4525,4.3125,Orbicella_annularis,grow,n/s
42,184,170,7.48,7.8825,Orbicella_annularis,grow,n/s
42,185,171,7.585,8.8275,Orbicella_annularis,grow,n/s
42,188,175,5.1325,5.4425,Orbicella_annularis,grow,n/s
45,209,197,5.6,6.2475,Orbicella_annularis,grow,n/s
