Genet,Blob1,Blob2,Area1,Area2,Class,Action,Split\Fuse
17,77,-1,0.875,0.0,Orbicella_annularis,dead,none
56,493,-1,0.3575,0.0,Orbicella_annularis,dead,none
3,2,2,1.705,2.7825,Orbicella_annularis,grow,n/s
2,3,3,4.13,4.7025,Orbicella_annularis,grow,n/s
6,4,4,17.04,18.9075,Orbicella_annularis,grow,n/s
36,393,382,39.7525,50.4475,Orbicella_annularis,grow,n/s
38,413,407,4.515,5.3075,Orbicella_franksi,grow,n/s
39,415,408,5.1025,5.585,Orbicella_franksi,grow,n/s
40,416,409,6.1225,6.5275,Orbicella_franksi,grow,n/s
42,420,412,5.5375,6.575,Orbicella_franksi,grow,n/s
52,472,460,4.7325,5.5725,Orbicella_annularis,grow,n/s
55,491,486,0.4225,0.45,Orbicella_annularis,grow,n/s
81,603,597,3.8975,4.1475,Orbicella_franksi,grow,n/s
90,641,629,17.995,18.91,Acropora_palmata,grow,n/s
113,688,674,53.3975,64.93,Acropora_palmata,grow,n/s
117,694,683,15.285,18.39,Acropora_palmata,grow,n/s
131,885,874,3.29,4.4,Orbicella_annularis,grow,n/s
133,902,896,9.08,9.785,Orbicella_faveolata,grow,n/s
136,952,941,16.975,18.4325,Orbicella_faveolata,grow,n/s
137,956,946,6.15,7.3525,Orbicella_faveolata,grow,n/s
138,957,947,6.6375,7.32,Orbicella_faveolata,grow,n/s
139,958,949,7.9425,8.455,Orbicella_faveolata,grow,n/s
145,975,965,4.11,5.0075,Orbicella_faveolata,grow,n/s
147,976,969,7.5775,9.375,Orbicella_faveolata,grow,n/s
149,979,971,2.8325,4.0125,Orbicella_faveolata,grow,n/s
153,998,990,4.725,5.96,Orbicella_faveolata,grow,n/s
155,1004,994,5.9325,6.7025,Orbicella_faveolata,grow,n/s
158,1020,1008,2.2775,2.5325,Orbicella_annularis,grow,n/s
162,1028,1019,0.3225,0.4,Orbicella_annularis,grow,n/s
169,1057,1049,7.265,8.31,Orbicella_faveolata,grow,n/s
170,1062,1055,5.4575,9.5325,Orbicella_faveolata,grow,n/s
171,1063,1056,5.0175,10.6675,Orbicella_faveolata,grow,n/s
9,34,34,13.215,17.9925,Orbicella_annularis,n/s,fuse
9,36,34,5.54,17.9925,Orbicella_annularis,n/s,fuse
13,38,37,0.24,1.42,Orbicella_annularis,n/s,fuse
13,39,37,1.01,1.42,Orbicella_annularis,n/s,fuse
67,512,498,58.3625,57.2,Orbicella_franksi,n/s,fuse
67,515,498,10.885,57.2,Orbicella_franksi,n/s,fuse
69,517,507,14.365,6.285,Orbicella_franksi,n/s,split
69,517,511,14.365,0.61,Orbicella_franksi,n/s,split
67,522,498,6.2125,57.2,Orbicella_franksi,n/s,fuse
77,597,590,30.8375,19.8375,Orbicella_franksi,n/s,split
77,597,593,30.8375,3.0275,Orbicella_franksi,n/s,split
1,888,879,2.53,7.89,Orbicella_annularis,n/s,fuse
1,889,879,2.5425,7.89,Orbicella_annularis,n/s,fuse
152,995,987,8.2325,19.77,Orbicella_faveolata,n/s,fuse
152,996,987,6.465,19.77,Orbicella_faveolata,n/s,fuse
160,1022,1013,19.0775,14.335,Orbicella_annularis,n/s,split
160,1022,1014,19.0775,2.445,Orbicella_annularis,n/s,split
8,32,32,2.175,2.28,Orbicella_annularis,same,n/s
10,33,33,8.985,8.5925,Orbicella_annularis,same,n/s
11,35,35,4.2975,4.135,Orbicella_annularis,same,n/s
17,66,64,45.835,47.7425,Orbicella_annularis,same,n/s
18,70,67,2.53,2.4775,Orbicella_annularis,same,n/s
21,187,182,84.895,84.335,Orbicella_annularis,same,n/s
22,222,213,32.1525,33.2075,Orbicella_annularis,same,n/s
34,340,334,74.2675,72.6175,Orbicella_franksi,same,n/s
43,423,416,7.0525,7.3875,Orbicella_franksi,same,n/s
44,425,418,15.83,15.9725,Orbicella_franksi,same,n/s
196,497,491,0.5725,0.57,Orbicella_annularis,same,n/s
64,502,502,0.66,0.66,Orbicella_annularis,same,n/s
65,503,503,2.015,2.015,Orbicella_annularis,same,n/s
63,504,504,4.77,4.77,Orbicella_annularis,same,n/s
66,505,505,7.505,7.505,Orbicella_annularis,same,n/s
63,507,509,1.5025,1.5025,Orbicella_annularis,same,n/s
73,589,583,13.4,13.4,Acropora_palmata,same,n/s
74,591,585,3.945,3.945,Acropora_palmata,same,n/s
76,593,588,18.6475,18.6475,Acropora_palmata,same,n/s
