Genet,Blob1,Blob2,Area1,Area2,Class,Action,Split\Fuse
141,-1,90,0.0,14.27,Diploria_labyrinthiformis,born,none
44,33,-1,56.68,0.0,Acropora_cervicornis,dead,none
53,46,-1,25.795,0.0,Orbicella_annularis,dead,none
55,47,-1,4.015,0.0,Orbicella_annularis,dead,none
79,64,-1,22.045,0.0,Acropora_palmata,dead,none
81,65,-1,37.7675,0.0,Acropora_palmata,dead,none
80,66,-1,66.0925,0.0,Acropora_palmata,dead,none
82,68,-1,15.41,0.0,Acropora_palmata,dead,none
85,69,-1,13.2825,0.0,Acropora_palmata,dead,none
86,70,-1,24.81,0.0,Acropora_palmata,dead,none
87,71,-1,55.16,0.0,Acropora_palmata,dead,none
89,72,-1,7.2925,0.0,Acropora_palmata,dead,none
137,76,-1,12.965,0.0,Acropora_palmata,dead,none
91,78,-1,5.625,0.0,Acropora_palmata,dead,none
4,3,2,4.8675,5.6,Orbicella_annularis,grow,n/s
8,7,6,4.44,5.6425,Orbicella_annularis,grow,n/s
11,10,9,4.14,5.3025,Orbicella_annularis,grow,n/s
13,12,11,5.8925,7.115,Orbicella_annularis,grow,n/s
14,15,13,4.88,5.715,Orbicella_annularis,grow,n/s
18,19,17,6.695,7.6775,Orbicella_annularis,grow,n/s
19,20,18,3.8125,4.1725,Orbicella_annularis,grow,n/s
20,21,19,6.6225,7.315,Orbicella_annularis,grow,n/s
21,22,20,5.33,6.2625,Orbicella_annularis,grow,n/s
24,25,23,6.495,7.1975,Orbicella_annularis,grow,n/s
43,31,26,15.095,16.85,Orbicella_annularis,grow,n/s
52,44,38,273.6225,288.67,Acropora_palmata,grow,n/s
76,55,43,5.3875,6.615,Orbicella_annularis,grow,n/s
78,57,45,11.7275,13.7275,Orbicella_annularis,grow,n/s
77,58,46,5.77,6.6625,Orbicella_annularis,grow,n/s
77,59,47,6.1425,7.19,Orbicella_annularis,grow,n/s
78,60,48,4.37,5.485,Orbicella_annularis,grow,n/s
77,61,49,6.4025,7.5025,Orbicella_annularis,grow,n/s
95,74,54,4.945,6.7675,Orbicella_annularis,grow,n/s
98,81,58,5.355,6.0025,Orbicella_annularis,grow,n/s
100,82,59,298.15,333.875,Acropora_palmata,grow,n/s
99,84,60,6.7625,7.905,Orbicella_annularis,grow,n/s
104,88,64,5.2125,5.87,Orbicella_annularis,grow,n/s
108,94,69,314.4375,339.055,Acropora_palmata,grow,n/s
138,96,71,3.0975,3.66,Orbicella_annularis,grow,n/s
112,98,73,4.175,5.22,Orbicella_annularis,grow,n/s
111,99,74,5.915,7.335,Orbicella_annularis,grow,n/s
113,100,75,3.175,3.9525,Orbicella_annularis,grow,n/s
115,101,76,4.4475,5.2375,Orbicella_annularis,grow,n/s
117,102,77,7.23,7.9325,Orbicella_annularis,grow,n/s
116,103,78,4.22,4.4775,Orbicella_annularis,grow,n/s
118,104,79,5.39,6.005,Orbicella_annularis,grow,n/s
119,105,80,3.87,4.8325,Orbicella_annularis,grow,n/s
29,108,83,11.105,11.7975,Orbicella_annularis,grow,n/s
12,13,12,7.8425,17.7675,Orbicella_annularis,n/s,fuse
12,14,12,7.75,17.7675,Orbicella_annularis,n/s,fuse
22,23,21,6.0275,13.5675,Orbicella_annularis,n/s,fuse
22,26,21,5.895,13.5675,Orbicella_annularis,n/s,fuse
33,27,24,6.08,37.8575,Orbicella_annularis,n/s,fuse
33,28,24,29.105,37.8575,Orbicella_annularis,n/s,fuse
42,29,25,39.825,49.3575,Orbicella_annularis,n/s,fuse
42,30,25,8.2575,49.3575,Orbicella_annularis,n/s,fuse
96,75,55,3.2625,30.08,Orbicella_annularis,n/s,fuse
96,77,55,14.7925,30.08,Orbicella_annularis,n/s,fuse
97,79,56,12.9275,26.365,Orbicella_annularis,n/s,fuse
96,80,55,5.67,30.08,Orbicella_annularis,n/s,fuse
97,83,56,7.41,26.365,Orbicella_annularis,n/s,fuse
105,89,65,7.185,23.2,Orbicella_annularis,n/s,fuse
105,90,65,15.695,23.2,Orbicella_annularis,n/s,fuse
114,95,70,5.21,6.4175,Orbicella_annularis,n/s,fuse
114,95,72,5.21,435.09,Orbicella_annularis,n/s,fuse
114,97,70,314.18,6.4175,Acropora_palmata,n/s,fuse
114,97,72,314.18,435.09,Acropora_palmata,n/s,fuse
120,106,81,99.0125,50.6325,Acropora_palmata,n/s,split
120,106,82,99.0125,37.9725,Acropora_palmata,n/s,split
1,1,0,23.1375,22.53,Orbicella_annularis,same,n/s
9,8,7,4.4625,4.345,Orbicella_annularis,same,n/s
10,9,8,9.21,9.5525,Orbicella_annularis,same,n/s
12,11,10,13.9425,14.2275,Orbicella_annularis,same,n/s
0,17,15,0.7075,0.6975,Orbicella_annularis,same,n/s
23,24,22,6.0775,6.165,Orbicella_annularis,same,n/s
42,32,27,14.2125,14.5075,Orbicella_annularis,same,n/s
