Genet,Blob1,Blob2,Area1,Area2,Class,Action,Split\Fuse
202,-1,0,0.0,0.4325,Orbicella_annularis,born,none
203,-1,1,0.0,0.76,Orbicella_annularis,born,none
66,0,-1,1.3025,0.0,Orbicella_annularis,dead,none
3,2,2,1.9525,2.3625,Orbicella_annularis,grow,n/s
2,3,3,4.0625,4.4725,Orbicella_annularis,grow,n/s
6,4,4,16.4675,17.6325,Orbicella_annularis,grow,n/s
13,42,42,1.045,1.1075,Orbicella_annularis,grow,n/s
17,79,81,1.2875,1.8275,Orbicella_annularis,grow,n/s
20,192,197,29.6475,33.11,Orbicella_annularis,grow,n/s
38,449,455,5.6675,6.9125,Orbicella_franksi,grow,n/s
71,593,601,0.2375,0.3475,Orbicella_annularis,grow,n/s
74,651,660,3.1775,3.945,Acropora_palmata,grow,n/s
77,657,666,4.5125,6.02,Orbicella_franksi,grow,n/s
120,776,785,3.7875,7.7575,Orbicella_franksi,grow,n/s
126,874,883,59.2925,62.405,Orbicella_franksi,grow,n/s
127,881,889,7.7825,8.9525,Orbicella_franksi,grow,n/s
135,989,1000,7.8075,8.255,Orbicella_faveolata,grow,n/s
145,1061,1071,4.8475,6.505,Orbicella_faveolata,grow,n/s
147,1064,1075,8.015,9.4375,Orbicella_faveolata,grow,n/s
149,1067,1077,3.1175,3.7975,Orbicella_faveolata,grow,n/s
152,1083,1094,9.205,10.07,Orbicella_faveolata,grow,n/s
157,1106,1115,5.7775,6.1575,Orbicella_annularis,grow,n/s
162,1114,1125,0.9475,1.0425,Orbicella_annularis,grow,n/s
119,775,783,4.9325,29.4475,Orbicella_franksi,n/s,fuse
119,779,783,21.0775,29.4475,Orbicella_franksi,n/s,fuse
122,786,794,56.655,60.1875,Orbicella_annularis,n/s,fuse
122,793,794,2.085,60.1875,Orbicella_annularis,n/s,fuse
122,794,794,0.345,60.1875,Orbicella_annularis,n/s,fuse
13,41,41,0.2975,0.31,Orbicella_annularis,same,n/s
21,195,200,81.87,85.4325,Orbicella_annularis,same,n/s
28,330,336,0.9125,0.9125,Orbicella_annularis,same,n/s
29,332,337,10.0775,10.0775,Orbicella_annularis,same,n/s
31,337,344,1.2625,1.2625,Orbicella_annularis,same,n/s
32,339,345,4.0175,4.0175,Orbicella_annularis,same,n/s
33,346,347,2.15,2.15,Orbicella_annularis,same,n/s
34,370,377,40.9525,39.3525,Orbicella_franksi,same,n/s
36,425,431,37.745,37.3225,Orbicella_annularis,same,n/s
52,510,517,5.3525,5.3,Orbicella_annularis,same,n/s
52,513,521,6.46,6.2125,Orbicella_annularis,same,n/s
55,538,545,0.3775,0.3775,Orbicella_annularis,same,n/s
56,539,546,5.1425,5.1425,Orbicella_annularis,same,n/s
58,540,547,0.7625,0.7625,Orbicella_annularis,same,n/s
59,541,548,0.8675,0.8675,Orbicella_annularis,same,n/s
196,542,549,0.81,0.81,Orbicella_annularis,same,n/s
193,543,550,0.495,0.495,Orbicella_annularis,same,n/s
56,547,552,1.18,1.18,Orbicella_annularis,same,n/s
63,548,553,0.565,0.565,Orbicella_annularis,same,n/s
64,550,554,1.15,1.15,Orbicella_annularis,same,n/s
56,551,555,0.9175,0.9175,Orbicella_annularis,same,n/s
65,553,556,1.1675,1.1675,Orbicella_annularis,same,n/s
63,554,557,0.67,0.67,Orbicella_annularis,same,n/s
66,556,559,7.155,7.155,Orbicella_annularis,same,n/s
65,557,560,1.0675,1.0675,Orbicella_annularis,same,n/s
63,558,562,2.61,2.61,Orbicella_annularis,same,n/s
67,566,572,6.8025,6.935,Orbicella_franksi,same,n/s
70,582,589,77.28,77.8225,Orbicella_annularis,same,n/s
77,658,665,18.2725,18.8175,Orbicella_franksi,same,n/s
81,666,675,6.2375,6.225,Orbicella_franksi,same,n/s
82,668,677,4.5675,4.4075,Orbicella_franksi,same,n/s
86,695,705,26.6875,25.7625,Acropora_palmata,same,n/s
96,708,716,27.235,28.095,Acropora_palmata,same,n/s
117,759,767,24.61,25.44,Acropora_palmata,same,n/s
119,773,782,31.4225,31.9925,Orbicella_franksi,same,n/s
121,781,788,4.2525,4.3775,Orbicella_franksi,same,n/s
124,810,815,77.2075,78.6975,Orbicella_annularis,same,n/s
125,872,880,17.2425,17.84,Orbicella_franksi,same,n/s
128,908,917,45.3625,45.3625,Acropora_cervicornis,same,n/s
131,964,973,4.36,4.36,Orbicella_annularis,same,n/s
0,965,974,8.77,8.77,Orbicella_annularis,same,n/s
132,967,976,6.8175,6.8175,Orbicella_annularis,same,n/s
1,969,978,3.05,3.05,Orbicella_annularis,same,n/s
1,970,979,2.87,2.87,Orbicella_annularis,same,n/s
133,986,997,8.095,8.395,Orbicella_faveolata,same,n/s
134,988,998,10.5375,10.53,Orbicella_faveolata,same,n/s
136,1035,1045,14.885,14.885,Orbicella_faveolata,same,n/s
137,1041,1051,5.8075,5.8075,Orbicella_faveolata,same,n/s
138,1042,1053,6.3075,6.3075,Orbicella_faveolata,same,n/s
139,1044,1054,7.08,7.08,Orbicella_faveolata,same,n/s
154,1092,1102,4.385,4.385,Orbicella_faveolata,same,n/s
155,1093,1103,6.035,6.035,Orbicella_faveolata,same,n/s
156,1097,1107,2.725,2.725,Orbicella_faveolata,same,n/s
160,1110,1121,19.455,18.7425,Orbicella_annularis,same,n/s
161,1113,1123,2.2975,2.305,Orbicella_annularis,same,n/s
163,1139,1150,7.135,7.135,Acropora_cervicornis,same,n/s
168,1141,1152,10.09,10.09,Acropora_cervicornis,same,n/s
167,1142,1153,1.025,1.025,Acropora_cervicornis,same,n/s
166,1144,1155,0.7675,0.7675,Acropora_cervicornis,same,n/s
8,35,35,2.2325,1.8175,Orbicella_annularis,shrink,n/s
10,36,36,10.6275,8.9775,Orbicella_annularis,shrink,n/s
9,37,37,14.9725,14.1025,Orbicella_annularis,shrink,n/s
11,38,38,4.815,4.0375,Orbicella_annularis,shrink,n/s
9,39,39,5.87,5.48,Orbicella_annularis,shrink,n/s
12,40,40,3.5175,3.105,Orbicella_annularis,shrink,n/s
17,70,70,46.825,42.53,Orbicella_annularis,shrink,n/s
18,74,74,2.54,2.06,Orbicella_annularis,shrink,n/s
