Genet,Blob1,Blob2,Area1,Area2,Class,Action,Split\Fuse
23,269,-1,1.93,0.0,Orbicella_annularis,dead,none
25,359,-1,57.32,0.0,Orbicella_annularis,dead,none
26,360,-1,1.4025,0.0,Orbicella_annularis,dead,none
27,363,-1,1.4975,0.0,Orbicella_annularis,dead,none
109,828,-1,12.9875,0.0,Acropora_palmata,dead,none
112,832,-1,5.015,0.0,Acropora_palmata,dead,none
115,834,-1,14.0,0.0,Acropora_palmata,dead,none
123,884,-1,2.75,0.0,Orbicella_annularis,dead,none
142,1171,-1,14.36,0.0,Acropora_palmata,dead,none
143,1173,-1,13.9125,0.0,Acropora_palmata,dead,none
148,1181,-1,15.9975,0.0,Acropora_palmata,dead,none
148,1187,-1,15.135,0.0,Acropora_palmata,dead,none
96,0,734,13.5475,15.2475,Acropora_palmata,grow,n/s
8,48,35,1.7075,1.8475,Orbicella_annularis,grow,n/s
10,51,37,2.605,2.9075,Orbicella_annularis,grow,n/s
10,53,40,5.17,5.625,Orbicella_annularis,grow,n/s
11,55,42,3.4025,3.965,Orbicella_annularis,grow,n/s
9,57,43,4.0,4.5,Orbicella_annularis,grow,n/s
12,58,44,2.555,2.78,Orbicella_annularis,grow,n/s
13,60,47,0.8325,0.88,Orbicella_annularis,grow,n/s
34,421,391,18.35,20.4075,Orbicella_franksi,grow,n/s
34,425,396,6.5275,7.04,Orbicella_franksi,grow,n/s
36,467,436,31.3525,33.05,Orbicella_annularis,grow,n/s
38,496,458,4.7875,5.105,Orbicella_franksi,grow,n/s
41,502,464,9.4775,10.5675,Orbicella_franksi,grow,n/s
41,506,468,4.755,5.1575,Orbicella_franksi,grow,n/s
44,511,471,6.185,6.655,Orbicella_franksi,grow,n/s
44,512,472,5.6,6.2575,Orbicella_franksi,grow,n/s
51,554,517,1.2075,1.325,Orbicella_annularis,grow,n/s
52,560,521,5.53,5.935,Orbicella_annularis,grow,n/s
54,566,523,3.5775,4.4375,Orbicella_annularis,grow,n/s
59,595,556,1.02,1.0925,Orbicella_annularis,grow,n/s
60,598,561,0.705,0.745,Orbicella_annularis,grow,n/s
56,606,567,0.59,0.675,Orbicella_annularis,grow,n/s
63,607,566,0.8875,0.985,Orbicella_annularis,grow,n/s
67,620,576,6.01,7.1875,Orbicella_franksi,grow,n/s
68,622,581,0.95,1.0,Orbicella_annularis,grow,n/s
67,623,579,7.7125,9.4225,Orbicella_franksi,grow,n/s
71,652,605,0.2125,0.4,Orbicella_annularis,grow,n/s
79,722,678,23.9375,25.7,Orbicella_franksi,grow,n/s
77,725,681,5.13,5.56,Orbicella_franksi,grow,n/s
78,726,684,6.955,7.5975,Orbicella_franksi,grow,n/s
77,729,686,3.945,4.665,Orbicella_franksi,grow,n/s
79,739,690,8.505,9.1325,Orbicella_franksi,grow,n/s
83,742,694,5.91,6.2625,Orbicella_franksi,grow,n/s
86,772,712,16.9775,21.6275,Acropora_palmata,grow,n/s
90,777,717,9.4475,12.28,Acropora_palmata,grow,n/s
93,784,729,5.235,6.8,Orbicella_faveolata,grow,n/s
94,788,731,6.6475,7.7075,Orbicella_faveolata,grow,n/s
103,801,743,6.025,7.3475,Orbicella_faveolata,grow,n/s
113,831,783,12.8875,15.3325,Acropora_palmata,grow,n/s
113,837,787,19.33,22.035,Acropora_palmata,grow,n/s
120,859,803,5.95,6.25,Orbicella_franksi,grow,n/s
119,867,809,7.79,8.32,Orbicella_franksi,grow,n/s
119,868,810,7.4325,9.385,Orbicella_franksi,grow,n/s
122,885,822,1.21,1.3025,Orbicella_annularis,grow,n/s
122,886,823,0.26,0.2875,Orbicella_annularis,grow,n/s
125,968,907,7.2375,7.7425,Orbicella_franksi,grow,n/s
126,971,913,5.56,6.58,Orbicella_franksi,grow,n/s
126,983,921,5.66,6.2125,Orbicella_franksi,grow,n/s
131,1071,1013,3.5475,4.1775,Orbicella_annularis,grow,n/s
132,1073,1014,5.4825,6.0025,Orbicella_annularis,grow,n/s
1,1074,1015,2.4225,2.785,Orbicella_annularis,grow,n/s
1,1075,1017,2.3975,3.7,Orbicella_annularis,grow,n/s
136,1146,1087,11.455,13.72,Orbicella_faveolata,grow,n/s
152,1209,1139,4.5775,5.2175,Orbicella_faveolata,grow,n/s
154,1214,1145,4.0675,4.6175,Orbicella_faveolata,grow,n/s
158,1230,1160,1.6575,2.1575,Orbicella_annularis,grow,n/s
159,1233,1161,3.015,4.4725,Orbicella_annularis,grow,n/s
161,1235,1164,2.28,2.5275,Orbicella_annularis,grow,n/s
163,1270,1203,8.1975,8.635,Acropora_cervicornis,grow,n/s
164,1272,1199,7.4525,14.6725,Acropora_cervicornis,grow,n/s
167,1275,1205,10.0775,11.6275,Acropora_cervicornis,grow,n/s
169,1281,1211,6.815,7.615,Orbicella_faveolata,grow,n/s
171,1289,1217,6.485,9.6125,Orbicella_faveolata,grow,n/s
9,52,39,1.6825,12.6225,Orbicella_annularis,n/s,fuse
9,54,39,4.12,12.6225,Orbicella_annularis,n/s,fuse
9,56,39,6.215,12.6225,Orbicella_annularis,n/s,fuse
17,88,79,50.2225,56.0425,Orbicella_annularis,n/s,fuse
17,102,79,2.215,56.0425,Orbicella_annularis,n/s,fuse
21,230,214,70.04,74.1475,Orbicella_annularis,n/s,fuse
21,236,214,4.515,74.1475,Orbicella_annularis,n/s,fuse
34,412,380,5.6425,13.6025,Orbicella_franksi,n/s,fuse
34,415,380,5.76,13.6025,Orbicella_franksi,n/s,fuse
34,416,387,7.655,27.455,Orbicella_franksi,n/s,fuse
34,418,387,8.0675,27.455,Orbicella_franksi,n/s,fuse
34,420,387,8.385,27.455,Orbicella_franksi,n/s,fuse
35,424,394,6.61,13.6725,Orbicella_franksi,n/s,fuse
35,429,394,7.3025,13.6725,Orbicella_franksi,n/s,fuse
52,555,518,4.0425,37.94,Orbicella_annularis,n/s,fuse
52,556,518,5.92,37.94,Orbicella_annularis,n/s,fuse
52,559,518,6.515,37.94,Orbicella_annularis,n/s,fuse
52,561,518,16.0275,37.94,Orbicella_annularis,n/s,fuse
52,563,518,2.425,37.94,Orbicella_annularis,n/s,fuse
58,593,555,0.3625,0.6675,Orbicella_annularis,n/s,fuse
58,596,555,0.2075,0.6675,Orbicella_annularis,n/s,fuse
56,597,559,1.115,2.55,Orbicella_annularis,n/s,fuse
56,601,559,0.86,2.55,Orbicella_annularis,n/s,fuse
67,611,571,17.0675,28.245,Orbicella_franksi,n/s,fuse
63,612,572,2.56,6.3225,Orbicella_annularis,n/s,fuse
66,616,575,4.3375,5.6675,Orbicella_annularis,n/s,fuse
63,617,572,3.8975,6.3225,Orbicella_annularis,n/s,fuse
66,618,575,1.3025,5.6675,Orbicella_annularis,n/s,fuse
67,624,571,8.3925,28.245,Orbicella_franksi,n/s,fuse
67,628,583,5.5075,15.695,Orbicella_franksi,n/s,fuse
75,714,725,12.7,12.7,Acropora_palmata,n/s,fuse
79,723,679,9.465,15.3525,Orbicella_franksi,n/s,fuse
79,728,683,5.75,18.7425,Orbicella_franksi,n/s,fuse
77,730,687,6.3125,12.28,Orbicella_franksi,n/s,fuse
77,731,687,5.3225,12.28,Orbicella_franksi,n/s,fuse
79,732,679,5.405,15.3525,Orbicella_franksi,n/s,fuse
79,734,683,6.905,18.7425,Orbicella_franksi,n/s,fuse
79,744,683,6.22,18.7425,Orbicella_franksi,n/s,fuse
98,793,737,8.4425,18.5675,Orbicella_faveolata,n/s,fuse
98,794,737,7.3925,18.5675,Orbicella_faveolata,n/s,fuse
101,796,741,7.0675,26.5025,Orbicella_faveolata,n/s,fuse
101,797,741,7.4025,26.5025,Orbicella_faveolata,n/s,fuse
101,800,741,8.925,26.5025,Orbicella_faveolata,n/s,fuse
119,856,799,5.375,21.685,Orbicella_franksi,n/s,fuse
119,857,799,6.145,21.685,Orbicella_franksi,n/s,fuse
119,861,799,8.8125,21.685,Orbicella_franksi,n/s,fuse
119,863,807,7.4775,14.77,Orbicella_franksi,n/s,fuse
119,864,807,5.5575,14.77,Orbicella_franksi,n/s,fuse
124,901,839,68.0825,69.3975,Orbicella_annularis,n/s,fuse
126,972,915,8.515,27.1075,Orbicella_franksi,n/s,fuse
126,974,915,8.2325,27.1075,Orbicella_franksi,n/s,fuse
126,976,917,6.395,13.845,Orbicella_franksi,n/s,fuse
126,978,917,5.7925,13.845,Orbicella_franksi,n/s,fuse
126,980,915,8.9275,27.1075,Orbicella_franksi,n/s,fuse
160,1232,1162,14.1375,18.6575,Orbicella_annularis,n/s,fuse
160,1234,1162,5.58,18.6575,Orbicella_annularis,n/s,fuse
162,1238,1166,0.59,1.635,Orbicella_annularis,n/s,fuse
162,1239,1166,0.5475,1.635,Orbicella_annularis,n/s,fuse
166,1274,1206,10.85,13.0625,Acropora_cervicornis,n/s,fuse
166,1277,1206,4.8575,13.0625,Acropora_cervicornis,n/s,fuse
67,1290,583,7.005,15.695,Orbicella_franksi,n/s,fuse
3,2,7,2.295,2.295,Orbicella_annularis,same,n/s
2,3,8,3.84,3.84,Orbicella_annularis,same,n/s
4,4,10,2.26,2.26,Orbicella_annularis,same,n/s
5,5,11,2.265,2.265,Orbicella_annularis,same,n/s
6,6,12,4.1525,4.1525,Orbicella_annularis,same,n/s
6,7,13,14.2525,14.2525,Orbicella_annularis,same,n/s
7,8,14,0.7625,0.7625,Orbicella_annularis,same,n/s
6,9,15,4.29,4.29,Orbicella_annularis,same,n/s
6,10,17,1.6375,1.6375,Orbicella_annularis,same,n/s
13,59,46,0.3325,0.3225,Orbicella_annularis,same,n/s
18,93,85,3.0275,2.8875,Orbicella_annularis,same,n/s
20,227,210,27.825,28.5075,Orbicella_annularis,same,n/s
28,373,343,1.1625,1.2075,Orbicella_annularis,same,n/s
30,377,345,9.79,10.26,Orbicella_annularis,same,n/s
39,498,461,4.915,4.705,Orbicella_franksi,same,n/s
40,501,463,6.1,6.195,Orbicella_franksi,same,n/s
42,505,466,5.4325,5.6575,Orbicella_franksi,same,n/s
43,509,470,6.745,6.9225,Orbicella_franksi,same,n/s
53,558,519,2.885,2.9925,Orbicella_annularis,same,n/s
55,589,552,0.3525,0.365,Orbicella_annularis,same,n/s
62,603,563,0.515,0.525,Orbicella_annularis,same,n/s
56,605,565,1.55,1.505,Orbicella_annularis,same,n/s
64,608,568,1.5975,1.6,Orbicella_annularis,same,n/s
65,610,570,1.29,1.2325,Orbicella_annularis,same,n/s
65,615,574,1.125,1.1775,Orbicella_annularis,same,n/s
69,627,582,5.915,5.985,Orbicella_franksi,same,n/s
69,631,587,7.17,7.32,Orbicella_franksi,same,n/s
70,647,601,70.095,72.935,Orbicella_annularis,same,n/s
72,709,719,14.3075,14.3075,Acropora_palmata,same,n/s
73,712,723,10.355,10.355,Acropora_palmata,same,n/s
74,713,724,21.435,21.435,Acropora_palmata,same,n/s
76,718,739,13.795,13.795,Acropora_palmata,same,n/s
80,733,688,3.0575,3.2,Orbicella_franksi,same,n/s
82,741,693,3.9275,3.8875,Orbicella_franksi,same,n/s
94,795,738,8.305,8.705,Orbicella_faveolata,same,n/s
108,823,829,11.4875,11.4875,Acropora_palmata,same,n/s
111,827,831,10.805,10.805,Acropora_palmata,same,n/s
117,836,838,12.5,12.5,Acropora_palmata,same,n/s
118,840,843,11.775,11.775,Acropora_palmata,same,n/s
124,910,1242,5.1375,5.3875,Orbicella_annularis,same,n/s
125,969,910,7.2025,7.56,Orbicella_franksi,same,n/s
127,985,923,8.035,8.2575,Orbicella_franksi,same,n/s
128,1012,999,12.01,12.01,Acropora_cervicornis,same,n/s
128,1013,1000,4.0075,4.0075,Acropora_cervicornis,same,n/s
128,1024,1004,3.25,3.25,Acropora_cervicornis,same,n/s
128,1025,1005,3.06,3.06,Acropora_cervicornis,same,n/s
128,1027,1006,7.63,7.63,Acropora_cervicornis,same,n/s
128,1029,1008,8.1125,8.1125,Acropora_cervicornis,same,n/s
0,1070,1012,7.1825,7.5075,Orbicella_annularis,same,n/s
137,1149,1089,5.055,4.915,Orbicella_faveolata,same,n/s
138,1150,1090,5.95,6.0025,Orbicella_faveolata,same,n/s
139,1152,1091,6.755,6.625,Orbicella_faveolata,same,n/s
145,1175,1115,3.8275,3.9,Orbicella_faveolata,same,n/s
149,1182,1119,3.1825,3.225,Orbicella_faveolata,same,n/s
152,1208,1138,6.6975,6.6675,Orbicella_faveolata,same,n/s
153,1211,1140,4.055,3.8825,Orbicella_faveolata,same,n/s
155,1215,1146,5.39,5.61,Orbicella_faveolata,same,n/s
156,1218,1149,3.3275,3.405,Orbicella_faveolata,same,n/s
157,1228,1159,4.9375,5.05,Orbicella_annularis,same,n/s
160,1236,1165,0.64,0.6275,Orbicella_annularis,same,n/s
165,1273,1201,7.185,6.8575,Acropora_cervicornis,same,n/s
170,1286,1218,7.1075,7.095,Orbicella_faveolata,same,n/s
22,270,253,59.105,26.785,Orbicella_annularis,shrink,n/s
24,355,335,79.2,46.3675,Orbicella_annularis,shrink,n/s
29,375,344,24.8675,22.6575,Orbicella_annularis,shrink,n/s
31,380,349,2.09,1.2575,Orbicella_annularis,shrink,n/s
32,382,352,5.1725,3.8475,Orbicella_annularis,shrink,n/s
33,384,356,2.505,2.3175,Orbicella_annularis,shrink,n/s
56,592,553,1.1675,1.0575,Orbicella_annularis,shrink,n/s
61,600,562,0.6125,0.5575,Orbicella_annularis,shrink,n/s
56,609,569,1.57,1.4325,Orbicella_annularis,shrink,n/s
66,614,573,0.895,0.7875,Orbicella_annularis,shrink,n/s
66,619,577,1.445,1.185,Orbicella_annularis,shrink,n/s
67,629,585,7.4175,6.63,Orbicella_franksi,shrink,n/s
77,724,682,4.1925,3.93,Orbicella_franksi,shrink,n/s
81,740,692,6.475,5.9,Orbicella_franksi,shrink,n/s
93,782,728,4.3475,4.135,Orbicella_faveolata,shrink,n/s
119,858,801,5.12,4.515,Orbicella_franksi,shrink,n/s
121,869,811,5.0625,3.995,Orbicella_franksi,shrink,n/s
122,876,815,46.4325,43.4775,Orbicella_annularis,shrink,n/s
122,880,818,2.59,2.1,Orbicella_annularis,shrink,n/s
133,1092,1039,7.5525,6.2,Orbicella_faveolata,shrink,n/s
134,1096,1040,9.985,9.0725,Orbicella_faveolata,shrink,n/s
135,1098,1041,6.8725,6.2825,Orbicella_faveolata,shrink,n/s
147,1178,1117,6.3675,5.2825,Orbicella_faveolata,shrink,n/s
168,1276,1204,5.2925,3.0725,Acropora_cervicornis,shrink,n/s
