plot,survey_date,change_source,area_change_m2
Plot A,2026-04-21,Area added by outplanting,0.053387000000000004
Plot A,2026-06-22,Area gained from coral growth,0.004328500000000001
Plot A,2026-06-22,Area lost,-0.00205625
Plot A,2026-08-12,Area gained from coral growth,0.01983725
Plot B,2026-04-22,Area added by outplanting,0.05622525000000001
Plot B,2026-06-09,Area added by outplanting,0.02099375
Plot B,2026-06-09,Area gained from coral growth,0.004812250000000002
Plot B,2026-06-09,Area lost,-0.0015974999999999989
Plot B,2026-08-07,Area gained from coral growth,0.0130345
Plot B,2026-08-07,Area lost,-7.555000000000002e-4
Plot C,2026-04-03,Area added by outplanting,0.36296299999999965
Plot C,2026-06-06,Area added by outplanting,3.8025e-4
Plot C,2026-06-06,Area gained from coral growth,0.018185999999999994
Plot C,2026-06-06,Area lost,-0.04737024999999997
Plot C,2026-08-05,Area gained from coral growth,0.028105249999999995
Plot C,2026-08-05,Area lost,-0.030726749999999997
Plot D,2026-04-16,Area added by outplanting,0.22224750000000004
Plot D,2026-06-08,Area gained from coral growth,0.015183500000000003
Plot D,2026-06-08,Area lost,-0.024057249999999992
Plot E,2025-06-09,Area gained from coral growth,0.050100000000000006
Plot E,2025-06-09,Area lost,-0.06146049999999999
Plot E,2025-07-11,Area gained from coral growth,0.045001000000000006
Plot E,2025-07-11,Area lost,-0.05830250000000001
Plot E,2025-08-04,Area added by outplanting,0.0028840000000000003
Plot E,2025-08-04,Area gained from coral growth,0.05272649999999999
Plot E,2025-08-04,Area lost,-0.03284025000000001
Plot E,2025-09-08,Area added by outplanting,2.8999999999999997e-5
Plot E,2025-09-08,Area gained from coral growth,0.04631675000000002
Plot E,2025-09-08,Area lost,-0.010932999999999998
Plot E,2025-10-14,Area gained from coral growth,0.033728250000000015
Plot E,2025-10-14,Area lost,-0.027807500000000002
Plot E,2025-11-06,Area added by outplanting,7.4825e-4
Plot E,2025-11-06,Area gained from coral growth,0.01704124999999999
Plot E,2025-11-06,Area lost,-0.03642450000000001
Plot E,2025-12-04,Area added by outplanting,2.8125e-4
Plot E,2025-12-04,Area gained from coral growth,0.057895
Plot E,2025-12-04,Area lost,-0.025015999999999997
Plot E,2026-01-20,Area added by outplanting,0.0015487500000000002
Plot E,2026-01-20,Area gained from coral growth,0.028634499999999997
Plot E,2026-01-20,Area lost,-0.03658624999999999
Plot E,2026-02-16,Area gained from coral growth,0.028907499999999996
Plot E,2026-02-16,Area lost,-0.03910525
Plot E,2026-03-25,Area added by outplanting,0.0014269999999999999
Plot E,2026-03-25,Area gained from coral growth,0.0374525
Plot E,2026-03-25,Area lost,-0.0433345
Plot E,2026-04-09,Area added by outplanting,0.34135924999999967
Plot E,2026-04-09,Area gained from coral growth,0.01741975
Plot E,2026-04-09,Area lost,-0.027374250000000003
Plot E,2026-05-04,Area added by outplanting,0.00815525
Plot E,2026-05-04,Area gained from coral growth,0.01316925000000001
Plot E,2026-05-04,Area lost,-0.03771424999999999
Plot G,2026-04-24,Area added by outplanting,0.05900500000000001
Plot G,2026-05-26,Area gained from coral growth,0.0025645000000000012
Plot G,2026-05-26,Area lost,-0.00231625
Plot G,2026-08-13,Area gained from coral growth,0.0063700000000000015
Plot G,2026-08-13,Area lost,-0.00122225
Plot H,2026-04-24,Area added by outplanting,0.04926449999999998
Plot H,2026-05-25,Area gained from coral growth,0.0036460000000000004
Plot H,2026-05-25,Area lost,-8.164999999999998e-4
Plot H,2026-08-13,Area gained from coral growth,0.002949749999999999
Plot H,2026-08-13,Area lost,-0.0068095000000000004
