plot,n_depth_markers,mean_depth_ft,min_depth_ft,max_depth_ft,depth_range_ft,mean_depth_m,min_depth_m,max_depth_m,depth_range_m,centroid_latitude,centroid_longitude
Plot A,4,40.25,30,51,21,12.2682,9.144,15.5448,6.4008,18.350825,-64.8641725
Plot B,4,37.75,25,51,26,11.5062,7.62,15.5448,7.9248,18.35078225,-64.86444025
Plot C,4,33.5,22,45,23,10.210799999999999,6.7056,13.716,7.0104,18.35071725,-64.86471175
Plot D,4,31.75,22,42,20,9.6774,6.7056,12.8016,6.096000000000001,18.3506437575,-64.8649542525
Plot E,4,31.75,22,42,20,9.6774,6.7056,12.8016,6.096000000000001,18.3505675225,-64.865194505
Plot F,4,30,20,41,21,9.144,6.096,12.4968,6.4008,18.350463765,-64.8654642525
Plot G,4,29,20,38,18,8.8392,6.096,11.5824,5.4864,18.350367499999997,-64.8657525
Plot H,4,27.75,19,38,19,8.4582,5.7912,11.5824,5.7912,18.350279999999998,-64.8660125
