plot,plot_section,plot_section_label,month_order,month,species,n_outplants,percent_prevalence,total_outplant_area_m2,percent_cover_within_outplants,mean_depth_ft,min_depth_ft,max_depth_ft,depth_range_ft,mean_depth_m,min_depth_m,max_depth_m,depth_range_m
Plot D,all,Plot D,3,June,Orbicella annularis,65,23.04964539007092,0.09173950000000003,42.99474513617538,31.75,22,42,20,9.6774,6.7056,12.8016,6.096000000000001
Plot D,all,Plot D,3,June,Orbicella franksi,11,3.900709219858156,0.025511500000000003,11.956250475984042,31.75,22,42,20,9.6774,6.7056,12.8016,6.096000000000001
Plot D,all,Plot D,3,June,Porites porites,157,55.673758865248224,0.08064450000000001,37.79494900380201,31.75,22,42,20,9.6774,6.7056,12.8016,6.096000000000001
Plot D,all,Plot D,3,June,Unidentified coral,2,0.7092198581560284,0.0018852500000000002,0.8835435474138689,31.75,22,42,20,9.6774,6.7056,12.8016,6.096000000000001
Plot E,all,Plot E,1,May,Acropora cervicornis,13,2.9345372460496613,0.025159,4.018332373697404,31.75,22,42,20,9.6774,6.7056,12.8016,6.096000000000001
Plot E,all,Plot E,1,May,Acropora palmata,89,20.090293453724605,0.24581700000000004,39.26127465738602,31.75,22,42,20,9.6774,6.7056,12.8016,6.096000000000001
Plot E,all,Plot E,1,May,Orbicella annularis,238,53.72460496613996,0.20441125000000004,32.64805212540059,31.75,22,42,20,9.6774,6.7056,12.8016,6.096000000000001
Plot E,all,Plot E,1,May,Orbicella faveolata,56,12.641083521444695,0.09178700000000001,14.659989410730299,31.75,22,42,20,9.6774,6.7056,12.8016,6.096000000000001
Plot E,all,Plot E,1,May,Orbicella franksi,44,9.932279909706546,0.056356250000000004,9.001078891656437,31.75,22,42,20,9.6774,6.7056,12.8016,6.096000000000001
Plot E,all,Plot E,1,May,Orbicella sp.,2,0.45146726862302483,5.015e-4,0.08009832208789093,31.75,22,42,20,9.6774,6.7056,12.8016,6.096000000000001
Plot E,all,Plot E,1,May,Unidentified coral,1,0.22573363431151242,0.0020735,0.3311742190413596,31.75,22,42,20,9.6774,6.7056,12.8016,6.096000000000001
Plot E,all,Plot E,2,June,Acropora cervicornis,11,2.722772277227723,0.029395,4.781657435196709,31.75,22,42,20,9.6774,6.7056,12.8016,6.096000000000001
Plot E,all,Plot E,2,June,Acropora palmata,59,14.603960396039604,0.20744524999999994,33.744926758249356,31.75,22,42,20,9.6774,6.7056,12.8016,6.096000000000001
Plot E,all,Plot E,2,June,Orbicella annularis,232,57.42574257425743,0.21639724999999987,35.201140310209915,31.75,22,42,20,9.6774,6.7056,12.8016,6.096000000000001
Plot E,all,Plot E,2,June,Orbicella faveolata,55,13.613861386138614,0.0972025,15.811840681908762,31.75,22,42,20,9.6774,6.7056,12.8016,6.096000000000001
Plot E,all,Plot E,2,June,Orbicella franksi,44,10.891089108910892,0.06260075,10.183206044782798,31.75,22,42,20,9.6774,6.7056,12.8016,6.096000000000001
Plot E,all,Plot E,2,June,Orbicella sp.,2,0.49504950495049505,5.895e-4,0.09589341922260451,31.75,22,42,20,9.6774,6.7056,12.8016,6.096000000000001
Plot E,all,Plot E,2,June,Unidentified coral,1,0.24752475247524752,0.00111475,0.18133535042985308,31.75,22,42,20,9.6774,6.7056,12.8016,6.096000000000001
Plot E,all,Plot E,3,July,Acropora cervicornis,11,2.9023746701846966,0.041344250000000006,6.827423804188346,31.75,22,42,20,9.6774,6.7056,12.8016,6.096000000000001
Plot E,all,Plot E,3,July,Acropora palmata,51,13.45646437994723,0.19023750000000003,31.41505858612215,31.75,22,42,20,9.6774,6.7056,12.8016,6.096000000000001
Plot E,all,Plot E,3,July,Orbicella annularis,221,58.31134564643799,0.20569749999999987,33.9680610474741,31.75,22,42,20,9.6774,6.7056,12.8016,6.096000000000001
Plot E,all,Plot E,3,July,Orbicella faveolata,50,13.192612137203167,0.10103749999999999,16.684927955294384,31.75,22,42,20,9.6774,6.7056,12.8016,6.096000000000001
Plot E,all,Plot E,3,July,Orbicella franksi,44,11.609498680738787,0.06665499999999999,11.007139654684124,31.75,22,42,20,9.6774,6.7056,12.8016,6.096000000000001
Plot E,all,Plot E,3,July,Orbicella sp.,2,0.5277044854881267,5.8975e-4,0.09738895223689091,31.75,22,42,20,9.6774,6.7056,12.8016,6.096000000000001
Plot E,all,Plot E,4,August,Acropora cervicornis,11,2.964959568733154,0.040438499999999995,6.437027332912036,31.75,22,42,20,9.6774,6.7056,12.8016,6.096000000000001
Plot E,all,Plot E,4,August,Acropora palmata,44,11.859838274932615,0.21121574999999995,33.62146360254498,31.75,22,42,20,9.6774,6.7056,12.8016,6.096000000000001
Plot E,all,Plot E,4,August,Empty,1,0.2695417789757412,0.002772,0.44124880415525214,31.75,22,42,20,9.6774,6.7056,12.8016,6.096000000000001
Plot E,all,Plot E,4,August,Orbicella annularis,216,58.22102425876011,0.19525250000000002,31.08042284751926,31.75,22,42,20,9.6774,6.7056,12.8016,6.096000000000001
Plot E,all,Plot E,4,August,Orbicella faveolata,51,13.746630727762803,0.11122149999999999,17.704312363403094,31.75,22,42,20,9.6774,6.7056,12.8016,6.096000000000001
Plot E,all,Plot E,4,August,Orbicella franksi,44,11.859838274932615,0.06598624999999997,10.503735174310783,31.75,22,42,20,9.6774,6.7056,12.8016,6.096000000000001
Plot E,all,Plot E,4,August,Orbicella sp.,4,1.0781671159029649,0.0013304999999999999,0.2117898751546042,31.75,22,42,20,9.6774,6.7056,12.8016,6.096000000000001
Plot E,all,Plot E,5,September,Acropora cervicornis,9,2.5280898876404496,0.046058499999999995,6.968751560303752,31.75,22,42,20,9.6774,6.7056,12.8016,6.096000000000001
Plot E,all,Plot E,5,September,Acropora palmata,41,11.51685393258427,0.221754,33.55186411853617,31.75,22,42,20,9.6774,6.7056,12.8016,6.096000000000001
Plot E,all,Plot E,5,September,Orbicella annularis,209,58.70786516853933,0.21519225000000003,32.55905702427946,31.75,22,42,20,9.6774,6.7056,12.8016,6.096000000000001
Plot E,all,Plot E,5,September,Orbicella faveolata,49,13.764044943820224,0.10768774999999998,16.293391574586675,31.75,22,42,20,9.6774,6.7056,12.8016,6.096000000000001
Plot E,all,Plot E,5,September,Orbicella franksi,44,12.359550561797754,0.06878525000000003,10.407358430330644,31.75,22,42,20,9.6774,6.7056,12.8016,6.096000000000001
Plot E,all,Plot E,5,September,Orbicella sp.,4,1.1235955056179776,0.0014512499999999998,0.2195772919632819,31.75,22,42,20,9.6774,6.7056,12.8016,6.096000000000001
Plot E,all,Plot E,6,October,Acropora cervicornis,9,2.616279069767442,0.044351,6.692465148283428,31.75,22,42,20,9.6774,6.7056,12.8016,6.096000000000001
Plot E,all,Plot E,6,October,Acropora palmata,41,11.918604651162791,0.21586424999999995,32.57342494837412,31.75,22,42,20,9.6774,6.7056,12.8016,6.096000000000001
Plot E,all,Plot E,6,October,Orbicella annularis,198,57.55813953488372,0.21847674999999997,32.96764526358438,31.75,22,42,20,9.6774,6.7056,12.8016,6.096000000000001
Plot E,all,Plot E,6,October,Orbicella faveolata,49,14.244186046511627,0.1118555,16.878740848995893,31.75,22,42,20,9.6774,6.7056,12.8016,6.096000000000001
Plot E,all,Plot E,6,October,Orbicella franksi,44,12.790697674418604,0.0710405,10.719850068017156,31.75,22,42,20,9.6774,6.7056,12.8016,6.096000000000001
Plot E,all,Plot E,6,October,Orbicella sp.,3,0.872093023255814,0.0011125,0.16787372274504098,31.75,22,42,20,9.6774,6.7056,12.8016,6.096000000000001
Plot E,all,Plot E,7,November,Acropora cervicornis,9,2.601156069364162,0.04522375,7.021607274415415,31.75,22,42,20,9.6774,6.7056,12.8016,6.096000000000001
Plot E,all,Plot E,7,November,Acropora palmata,41,11.84971098265896,0.21587474999999998,33.517514911138704,31.75,22,42,20,9.6774,6.7056,12.8016,6.096000000000001
Plot E,all,Plot E,7,November,Orbicella annularis,198,57.225433526011564,0.21080149999999998,32.729823286606724,31.75,22,42,20,9.6774,6.7056,12.8016,6.096000000000001
Plot E,all,Plot E,7,November,Orbicella faveolata,49,14.16184971098266,0.101665,15.784885232946033,31.75,22,42,20,9.6774,6.7056,12.8016,6.096000000000001
Plot E,all,Plot E,7,November,Orbicella franksi,44,12.716763005780347,0.06870174999999998,10.666888693774156,31.75,22,42,20,9.6774,6.7056,12.8016,6.096000000000001
Plot E,all,Plot E,7,November,Orbicella sp.,5,1.4450867052023122,0.00179875,0.27928060111898567,31.75,22,42,20,9.6774,6.7056,12.8016,6.096000000000001
Plot E,all,Plot E,8,December,Acropora cervicornis,9,2.710843373493976,0.041751250000000004,6.163621916297568,31.75,22,42,20,9.6774,6.7056,12.8016,6.096000000000001
Plot E,all,Plot E,8,December,Acropora palmata,39,11.74698795180723,0.23062975000000005,34.04723407443439,31.75,22,42,20,9.6774,6.7056,12.8016,6.096000000000001
Plot E,all,Plot E,8,December,Orbicella annularis,186,56.024096385542165,0.21717399999999998,32.06079880362881,31.75,22,42,20,9.6774,6.7056,12.8016,6.096000000000001
Plot E,all,Plot E,8,December,Orbicella faveolata,49,14.759036144578314,0.11135475,16.43899470276546,31.75,22,42,20,9.6774,6.7056,12.8016,6.096000000000001
Plot E,all,Plot E,8,December,Orbicella franksi,44,13.25301204819277,0.07262100000000002,10.720837991280398,31.75,22,42,20,9.6774,6.7056,12.8016,6.096000000000001
Plot E,all,Plot E,8,December,Orbicella sp.,5,1.5060240963855422,0.0038510000000000003,0.5685125115933518,31.75,22,42,20,9.6774,6.7056,12.8016,6.096000000000001
Plot E,all,Plot E,9,January,Acropora cervicornis,9,2.7522935779816513,0.039887250000000006,5.95750893538592,31.75,22,42,20,9.6774,6.7056,12.8016,6.096000000000001
Plot E,all,Plot E,9,January,Acropora palmata,39,11.926605504587156,0.20550274999999998,30.69362940216181,31.75,22,42,20,9.6774,6.7056,12.8016,6.096000000000001
Plot E,all,Plot E,9,January,Orbicella annularis,183,55.96330275229358,0.24075775000000005,35.95927136837986,31.75,22,42,20,9.6774,6.7056,12.8016,6.096000000000001
Plot E,all,Plot E,9,January,Orbicella faveolata,49,14.984709480122325,0.11435350000000002,17.079693336659055,31.75,22,42,20,9.6774,6.7056,12.8016,6.096000000000001
Plot E,all,Plot E,9,January,Orbicella franksi,44,13.45565749235474,0.06609600000000003,9.872014505719696,31.75,22,42,20,9.6774,6.7056,12.8016,6.096000000000001
Plot E,all,Plot E,9,January,Orbicella sp.,3,0.9174311926605505,0.0029317500000000003,0.43788245169365325,31.75,22,42,20,9.6774,6.7056,12.8016,6.096000000000001
Plot E,all,Plot E,10,February,Acropora cervicornis,2,1.2422360248447204,0.013552499999999999,3.234650922033635,31.75,22,42,20,9.6774,6.7056,12.8016,6.096000000000001
Plot E,all,Plot E,10,February,Acropora palmata,23,14.285714285714286,0.13811274999999998,32.964141976174204,31.75,22,42,20,9.6774,6.7056,12.8016,6.096000000000001
Plot E,all,Plot E,10,February,Orbicella annularis,112,69.56521739130434,0.16868675000000005,40.26140943902288,31.75,22,42,20,9.6774,6.7056,12.8016,6.096000000000001
Plot E,all,Plot E,10,February,Orbicella faveolata,22,13.664596273291925,0.08950175000000002,21.36188291172285,31.75,22,42,20,9.6774,6.7056,12.8016,6.096000000000001
Plot E,all,Plot E,10,February,Orbicella franksi,2,1.2422360248447204,0.009125,2.177914751046443,31.75,22,42,20,9.6774,6.7056,12.8016,6.096000000000001
Plot E,all,Plot E,11,March,Acropora cervicornis,1,0.7246376811594203,0.00824625,2.013841996588343,31.75,22,42,20,9.6774,6.7056,12.8016,6.096000000000001
Plot E,all,Plot E,11,March,Acropora palmata,9,6.521739130434782,0.113868,27.808053414281815,31.75,22,42,20,9.6774,6.7056,12.8016,6.096000000000001
Plot E,all,Plot E,11,March,Diploria labyrinthiformis,1,0.7246376811594203,0.0014269999999999999,0.34849204536990336,31.75,22,42,20,9.6774,6.7056,12.8016,6.096000000000001
Plot E,all,Plot E,11,March,Orbicella annularis,103,74.6376811594203,0.1803382500000001,44.04095697332095,31.75,22,42,20,9.6774,6.7056,12.8016,6.096000000000001
Plot E,all,Plot E,11,March,Orbicella faveolata,21,15.217391304347826,0.08309024999999999,20.291724718147588,31.75,22,42,20,9.6774,6.7056,12.8016,6.096000000000001
Plot E,all,Plot E,11,March,Orbicella franksi,3,2.1739130434782608,0.02250875,5.496930852291389,31.75,22,42,20,9.6774,6.7056,12.8016,6.096000000000001
Plot E,all,Plot E,12,April,Acropora cervicornis,1,0.1757469244288225,0.0107785,1.4577315662753259,31.75,22,42,20,9.6774,6.7056,12.8016,6.096000000000001
Plot E,all,Plot E,12,April,Acropora palmata,6,1.054481546572935,0.11593025000000001,15.678914961375899,31.75,22,42,20,9.6774,6.7056,12.8016,6.096000000000001
Plot E,all,Plot E,12,April,Diploria labyrinthiformis,33,5.799648506151143,0.031286749999999995,4.231357153700844,31.75,22,42,20,9.6774,6.7056,12.8016,6.096000000000001
Plot E,all,Plot E,12,April,Montastraea cavernosa,60,10.54481546572935,0.028011750000000005,3.7884318042040053,31.75,22,42,20,9.6774,6.7056,12.8016,6.096000000000001
Plot E,all,Plot E,12,April,Orbicella annularis,240,42.1792618629174,0.32329024999999995,43.72318991455598,31.75,22,42,20,9.6774,6.7056,12.8016,6.096000000000001
Plot E,all,Plot E,12,April,Orbicella faveolata,41,7.205623901581722,0.09593149999999999,12.974196386337749,31.75,22,42,20,9.6774,6.7056,12.8016,6.096000000000001
Plot E,all,Plot E,12,April,Orbicella franksi,53,9.314586994727593,0.05179925000000002,7.00555752974785,31.75,22,42,20,9.6774,6.7056,12.8016,6.096000000000001
Plot E,all,Plot E,12,April,Pseudodiploria strigosa,135,23.725834797891036,0.08237399999999999,11.140620683802355,31.75,22,42,20,9.6774,6.7056,12.8016,6.096000000000001
Plot E,all,Plot E,13,May,Acropora cervicornis,1,0.17421602787456447,0.0076335,1.0557908749848721,31.75,22,42,20,9.6774,6.7056,12.8016,6.096000000000001
Plot E,all,Plot E,13,May,Acropora palmata,5,0.8710801393728222,0.10905375,15.083245448730139,31.75,22,42,20,9.6774,6.7056,12.8016,6.096000000000001
Plot E,all,Plot E,13,May,Diploria labyrinthiformis,45,7.839721254355401,0.03705325,5.124842239933611,31.75,22,42,20,9.6774,6.7056,12.8016,6.096000000000001
Plot E,all,Plot E,13,May,Montastraea cavernosa,60,10.452961672473867,0.027227500000000005,3.7658408395428853,31.75,22,42,20,9.6774,6.7056,12.8016,6.096000000000001
Plot E,all,Plot E,13,May,Orbicella annularis,233,40.59233449477352,0.3039362500000001,42.037482062896565,31.75,22,42,20,9.6774,6.7056,12.8016,6.096000000000001
Plot E,all,Plot E,13,May,Orbicella faveolata,42,7.317073170731708,0.10697975,14.796390103905532,31.75,22,42,20,9.6774,6.7056,12.8016,6.096000000000001
Plot E,all,Plot E,13,May,Orbicella franksi,53,9.233449477351916,0.05126749999999999,7.090817931916804,31.75,22,42,20,9.6774,6.7056,12.8016,6.096000000000001
Plot E,all,Plot E,13,May,Pseudodiploria strigosa,135,23.519163763066203,0.07986099999999999,11.045590498089588,31.75,22,42,20,9.6774,6.7056,12.8016,6.096000000000001
