plot,interval_order,month_start,month_end,genet,tag,genotype,species,source_files,match_types,actions,split_fuse_events,n_rows,plot_area_m2,taglab_area_units,area_start,area_end,area_start_m2,area_end_m2,present_start,present_end,survived_interval,died_interval,born_interval
Plot E,1,May,June,21,NA,NA,Orbicella annularis,plotE1-1Matches_Coki_PlotE_20250507_1-1-Coki_PlotE_20250609_1-1.csv,1-1,grow,n/s,5,480,cm2,25.799999999999997,28.825000000000003,0.0025800000000000003,0.0028825,TRUE,TRUE,TRUE,FALSE,FALSE
Plot E,1,May,June,22,NA,NA,Orbicella annularis,plotE1-1Matches_Coki_PlotE_20250507_1-1-Coki_PlotE_20250609_1-1.csv,1-1,grow,n/s,1,480,cm2,3.135,3.3275,3.135e-4,3.3275000000000004e-4,TRUE,TRUE,TRUE,FALSE,FALSE
Plot E,1,May,June,23,NA,NA,Acropora palmata,plotE1-1Matches_Coki_PlotE_20250507_1-1-Coki_PlotE_20250609_1-1.csv,1-1,dead,none,1,480,cm2,37.365,0,0.0037365000000000002,0,TRUE,FALSE,FALSE,TRUE,FALSE
Plot E,1,May,June,24,NA,NA,Orbicella annularis,plotE1-1Matches_Coki_PlotE_20250507_1-1-Coki_PlotE_20250609_1-1.csv,1-1,shrink,n/s,1,480,cm2,0.56,0.485,5.6000000000000006e-5,4.85e-5,TRUE,TRUE,TRUE,FALSE,FALSE
Plot E,1,May,June,25,NA,NA,Orbicella annularis,plotE1-1Matches_Coki_PlotE_20250507_1-1-Coki_PlotE_20250609_1-1.csv,1-1,grow,n/s,2,480,cm2,7.5875,8.975,7.587500000000001e-4,8.975000000000001e-4,TRUE,TRUE,TRUE,FALSE,FALSE
Plot E,1,May,June,26,NA,NA,Orbicella annularis,plotE1-1Matches_Coki_PlotE_20250507_1-1-Coki_PlotE_20250609_1-1.csv,1-1,grow,n/s,1,480,cm2,2.03,2.425,2.0299999999999997e-4,2.4249999999999999e-4,TRUE,TRUE,TRUE,FALSE,FALSE
Plot E,1,May,June,27,NA,NA,Orbicella annularis,plotE1-1Matches_Coki_PlotE_20250507_1-1-Coki_PlotE_20250609_1-1.csv,1-1,grow,n/s,1,480,cm2,3.0175,4.1675,3.0175e-4,4.1675e-4,TRUE,TRUE,TRUE,FALSE,FALSE
Plot E,1,May,June,28,NA,NA,Orbicella annularis,plotE1-1Matches_Coki_PlotE_20250507_1-1-Coki_PlotE_20250609_1-1.csv,1-1,same,n/s,1,480,cm2,7.6075,7.89,7.6075e-4,7.89e-4,TRUE,TRUE,TRUE,FALSE,FALSE
Plot E,1,May,June,29,NA,NA,Orbicella annularis,plotE1-1Matches_Coki_PlotE_20250507_1-1-Coki_PlotE_20250609_1-1.csv,1-1,grow,n/s,1,480,cm2,0.76,1.2075,7.6e-5,1.2075000000000001e-4,TRUE,TRUE,TRUE,FALSE,FALSE
Plot E,1,May,June,3,NA,NA,Orbicella franksi,plotE1-1Matches_Coki_PlotE_20250507_1-1-Coki_PlotE_20250609_1-1.csv,1-1,grow,n/s,1,480,cm2,3.285,4.4275,3.285e-4,4.4275e-4,TRUE,TRUE,TRUE,FALSE,FALSE
Plot E,1,May,June,30,NA,NA,Orbicella annularis,plotE1-1Matches_Coki_PlotE_20250507_1-1-Coki_PlotE_20250609_1-1.csv,1-1,grow,n/s,1,480,cm2,0.4575,0.6725,4.575e-5,6.725e-5,TRUE,TRUE,TRUE,FALSE,FALSE
Plot E,1,May,June,31,NA,NA,Orbicella annularis,plotE1-1Matches_Coki_PlotE_20250507_1-1-Coki_PlotE_20250609_1-1.csv,1-1,grow,n/s,1,480,cm2,8.9275,10.4,8.9275e-4,0.0010400000000000001,TRUE,TRUE,TRUE,FALSE,FALSE
Plot E,1,May,June,32,NA,NA,Acropora palmata,plotE1-1Matches_Coki_PlotE_20250507_1-1-Coki_PlotE_20250609_1-1.csv,1-1,grow; same,n/s,8,480,cm2,172.2025,207.315,0.01722025,0.0207315,TRUE,TRUE,TRUE,FALSE,FALSE
Plot E,1,May,June,33,NA,NA,Orbicella annularis,plotE1-1Matches_Coki_PlotE_20250507_1-1-Coki_PlotE_20250609_1-1.csv,1-1,grow,n/s,1,480,cm2,2.1625,3.01,2.1625e-4,3.01e-4,TRUE,TRUE,TRUE,FALSE,FALSE
Plot E,1,May,June,34,NA,NA,Orbicella annularis,plotE1-1Matches_Coki_PlotE_20250507_1-1-Coki_PlotE_20250609_1-1.csv,1-1,grow,n/s,1,480,cm2,3.06,3.525,3.06e-4,3.525e-4,TRUE,TRUE,TRUE,FALSE,FALSE
Plot E,1,May,June,35,NA,NA,Orbicella annularis,plotE1-1Matches_Coki_PlotE_20250507_1-1-Coki_PlotE_20250609_1-1.csv,1-1,grow,n/s,1,480,cm2,0.4125,0.6225,4.125e-5,6.225000000000001e-5,TRUE,TRUE,TRUE,FALSE,FALSE
Plot E,1,May,June,36,NA,NA,Orbicella annularis,plotE1-1Matches_Coki_PlotE_20250507_1-1-Coki_PlotE_20250609_1-1.csv,1-1,grow,n/s,1,480,cm2,1.2225,1.625,1.2225e-4,1.625e-4,TRUE,TRUE,TRUE,FALSE,FALSE
Plot E,1,May,June,38,NA,NA,Orbicella franksi,plotE1-1Matches_Coki_PlotE_20250507_1-1-Coki_PlotE_20250609_1-1.csv,1-1,grow,n/s,1,480,cm2,5.48,6.04,5.480000000000001e-4,6.04e-4,TRUE,TRUE,TRUE,FALSE,FALSE
